unnamed:_0,customerid,gender,location,tenure_months,transaction_id,transaction_date,product_sku,product_description,product_category,quantity,avg_price,delivery_charges,coupon_status,gst,date,offline_spend,online_spend,month,coupon_code,discount_pct,payment_status,delivery_days,customer_rating,return_status,customer_city,discount_percent,order_priority,support_calls,membership,price_after_discount
0,17850.0,M,Chicago,12.0,16679.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,UNKNOWN,10.0,pending,1.0,1.0, returned ,Unknown,25.0,High,3.0,Gold,115.2825
1,17850.0,M,Chicago,12.0,16680.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,NO COUPON,10.0,,3.0,3.175792699173994,Unknown,Unknown,25.0,Medium,4.0,Unknown,115.2825
2,17850.0,M,Chicago,12.0,16696.0,2019-01-01,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Not Used,0.1,1/1/2019,4500.0,2424.5,1,NEWUSER,10.0,,5.0,3.175792699173994,Returned,Mumbai,15.0,Medium,0.0,Unknown,104.35449999999999
3,17850.0,M,Chicago,12.0,16699.0,2019-01-01,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1.0,81.5,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,SALE20,10.0,paid,1.0,3.0, returned , Chennai ,15.0,Low,3.0,Gold,69.27499999999999
4,17850.0,M,Chicago,12.0,16700.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,NO_COUPON,10.0,pending,3.0,4.0, returned , Chennai ,15.0,Unknown,2.0,Platinum,130.6535
5,17850.0,M,Chicago,12.0,16701.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,NO COUPON,10.0,failed,2.0,2.0,Unknown,Delhi,15.0,Low,2.0,Gold,130.6535
6,17850.0,M,Chicago,12.0,16702.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,153.71,6.5,Clicked,0.1,1/1/2019,4500.0,2424.5,1,NO COUPON,10.0,,3.0,5.0,Not Returned, Chennai ,15.0, high ,2.0,Unknown,130.6535
7,17850.0,M,Chicago,12.0,16703.0,2019-01-01,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2.0,81.5,6.5,Not Used,0.1,1/1/2019,4500.0,2424.5,1,SALE20,10.0,pending,7.0,4.0, returned ,Mumbai,10.0,Low,2.0,Unknown,73.35000000000001
8,17850.0,M,Chicago,12.0,16704.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,256.88,6.5,Used,0.1,1/1/2019,4500.0,2424.5,1,SAVE10,10.0,,3.0,4.0, returned ,Delhi,5.0,High,0.0,Platinum,244.03599999999997
9,17850.0,M,Chicago,12.0,16710.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,28.78,Clicked,0.1,1/1/2019,4500.0,2424.5,1,UNKNOWN,10.0,paid,3.0,3.175792699173994,Returned,Mumbai,5.0,Unknown,2.0,Gold,146.0245
